Port,Year,Week,Commercial Market,Commercial Size Class,Median Waiting Time Off Port Limits,Waiting Time Off Port Limits Confidence Score ,Median Time At Port,Time At Port Confidence Score,Median Waiting Time Off Port Limits  Standard Deviation ,Time At Port Standard Deviation,Waiting Time Off Port Limits  % Difference (week-to-week),Time At Port % Difference (week-to-week)
Shanghai,2024,11,ALL,ALL,0.9,HIGH,0.7,HIGH,1.8,2.9,0,16.7
Qingdao,2024,11,ALL,ALL,0.5,HIGH,0.9,HIGH,1.9,1.7,25,28.6
Ningbo,2024,11,ALL,ALL,0.9,HIGH,0.9,HIGH,2,2.9,0,12.5
Nansha,2024,11,ALL,ALL,0.3,HIGH,0.5,HIGH,0.4,0.6,0,0
Hai phong,2024,11,ALL,ALL,0.4,HIGH,1,HIGH,1.9,4.7,33.3,0
Busan,2024,11,ALL,ALL,0.5,HIGH,0.8,HIGH,1.5,1.9,25,0
Yantian,2024,10,ALL,ALL,0.3,LOW,0.7,LOW,0.9,0.3,50,16.7
Vung tau,2024,10,ALL,ALL,1.5,LOW,0.8,LOW,1.4,0.4,66.7,-50
Tianjin,2024,10,ALL,ALL,0.6,HIGH,1.3,HIGH,4.9,3,20,18.2
Tanjung pelepas,2024,10,ALL,ALL,0.5,HIGH,0.9,HIGH,1.8,1.2,25,12.5
Singapore,2024,10,ALL,ALL,0.9,LOW,0.8,LOW,2.8,2,12.5,-11.1
Shanghai,2024,10,ALL,ALL,0.9,HIGH,0.6,HIGH,1.7,4.5,28.6,0
Qingdao,2024,10,ALL,ALL,0.4,HIGH,0.7,HIGH,2.5,2.1,-42.9,-12.5
Ningbo,2024,10,ALL,ALL,0.9,HIGH,0.8,HIGH,1.9,3.3,12.5,0
Nansha,2024,10,ALL,ALL,0.3,HIGH,0.5,HIGH,0.6,6.7,,
Hai phong,2024,10,ALL,ALL,0.3,HIGH,1,HIGH,0.9,2.8,-40,0
Busan,2024,10,ALL,ALL,0.4,MEDIUM,0.8,MEDIUM,1.6,2.3,-20,0
Yantian,2024,9,ALL,ALL,0.2,LOW,0.6,LOW,0.5,0.2,-33.3,-25
Vung tau,2024,9,ALL,ALL,0.9,HIGH,1.6,HIGH,0.3,3.2,-35.7,60
Tianjin,2024,9,ALL,ALL,0.5,HIGH,1.1,HIGH,4.3,2.8,-28.6,-8.3
Tanjung pelepas,2024,9,ALL,ALL,0.4,HIGH,0.8,HIGH,1.1,1.5,0,0
Singapore,2024,9,ALL,ALL,0.8,HIGH,0.9,HIGH,4.2,2.4,-20,12.5
Shanghai,2024,9,ALL,ALL,0.7,HIGH,0.6,HIGH,1.6,3.6,0,-14.3
Qingdao,2024,9,ALL,ALL,0.7,LOW,0.8,LOW,2.4,2.2,-30,-11.1
Ningbo,2024,9,ALL,ALL,0.8,HIGH,0.8,HIGH,2.2,3.1,33.3,-11.1
Nansha,2024,9,ALL,ALL,0.3,HIGH,0.4,HIGH,0.9,3.9,0,0
Hai phong,2024,9,ALL,ALL,0.5,HIGH,1,HIGH,1.4,6.7,,
Busan,2024,9,ALL,ALL,0.5,LOW,0.8,LOW,0.8,3.2,-28.6,-11.1
Yantian,2024,8,ALL,ALL,0.3,HIGH,0.8,HIGH,2.1,0.3,200,14.3
Vung tau,2024,8,ALL,ALL,1.4,LOW,1,LOW,3.2,15.5,133.3,-44.4
Tianjin,2024,8,ALL,ALL,0.7,HIGH,1.2,HIGH,3.6,4.1,-65,-36.8
Tanjung pelepas,2024,8,ALL,ALL,0.4,HIGH,0.8,HIGH,3.3,0.5,-42.9,0
Singapore,2024,8,ALL,ALL,1,HIGH,0.8,HIGH,3,2.2,11.1,-11.1
Shanghai,2024,8,ALL,ALL,0.7,HIGH,0.7,HIGH,2.5,2.9,16.7,0
Qingdao,2024,8,ALL,ALL,1,HIGH,0.9,HIGH,2.1,2.1,,
Ningbo,2024,8,ALL,ALL,0.6,HIGH,0.9,HIGH,1.9,2.4,-40,-10
Nansha,2024,8,ALL,ALL,0.3,LOW,0.4,LOW,1.3,5.2,-62.5,-20
Hai phong,2024,8,ALL,ALL,0.5,HIGH,1,HIGH,2.2,8.2,150,-23.1
Busan,2024,8,ALL,ALL,0.7,LOW,0.9,LOW,2.8,2.9,40,0
Yantian,2024,7,ALL,ALL,0.1,LOW,0.7,LOW,,0.2,-66.7,-22.2
Tianjin,2024,7,ALL,ALL,2,HIGH,1.9,HIGH,2.7,1.4,42.9,46.1
Tanjung pelepas,2024,7,ALL,ALL,0.7,LOW,0.8,LOW,1.6,0.6,40,14.3
Singapore,2024,7,ALL,ALL,0.9,LOW,0.9,LOW,2.6,1.1,0,12.5
Shanghai,2024,7,ALL,ALL,0.6,LOW,0.7,LOW,2.1,2.8,-45.5,16.7
Qingdao,2024,7,ALL,ALL,0.5,LOW,1.2,LOW,2.6,1.3,25,71.4
Ningbo,2024,7,ALL,ALL,1,HIGH,1,HIGH,2.1,2.3,-33.3,0
Nansha,2024,7,ALL,ALL,0.6,HIGH,0.5,HIGH,0.5,0.4,-25,0
Hai phong,2024,7,ALL,ALL,0.2,LOW,1.3,LOW,0.2,3.5,0,30
Busan,2024,7,ALL,ALL,0.5,LOW,0.9,LOW,1.3,1.3,0,12.5
Yantian,2024,1,ALL,ALL,0.3,HIGH,0.9,HIGH,0.2,0.4,,
Vung tau,2024,1,ALL,ALL,0.6,MEDIUM,1.8,MEDIUM,,22.7,,
Tianjin,2024,1,ALL,ALL,1.4,HIGH,1.3,HIGH,3.8,3.2,,
Tanjung pelepas,2024,1,ALL,ALL,0.5,HIGH,0.7,HIGH,13.3,0.5,,
Singapore,2024,1,ALL,ALL,0.9,HIGH,0.8,HIGH,7.7,2.8,,
Shanghai,2024,1,ALL,ALL,1.1,HIGH,0.6,HIGH,1.4,2.7,,
Qingdao,2024,1,ALL,ALL,0.4,HIGH,0.7,HIGH,0.6,0.7,,
Ningbo,2024,1,ALL,ALL,1.5,HIGH,1,HIGH,1.3,0.5,,
Nansha,2024,1,ALL,ALL,0.8,HIGH,0.5,HIGH,1.5,0.7,,
Hai phong,2024,1,ALL,ALL,0.2,HIGH,1,HIGH,0.7,4.5,,
Busan,2024,1,ALL,ALL,0.5,HIGH,0.8,HIGH,1.4,2.9,,
